road,id,model_type,name,lat,lon,length
N1,1001085,bridge,bridge 247,21.2504167,92.1307493,781.0000000000059
N1,1001086,bridge,bridge 248,21.248083,92.1341108,13.000000000033651
N1,1001087,bridge,bridge 249,21.2479997,92.1342219,40.99999999999682
N1,1001088,link,link 839,21.2462219,92.1364719,300.00000000001137
N1,1001089,link,link 840,21.2447497,92.1389441,382.99999999998136
N1,1001090,bridge,bridge 250,21.242333,92.1413608,21.99999999999136
N1,1001091,bridge,bridge 251,21.2422219,92.1415552,302.0000000000209
N1,1001092,link,link 841,21.2412497,92.1440552,979.9999999999613
N1,1001093,link,link 842,21.2357774,92.1511667,998.0000000000473
N1,1001094,link,link 843,21.236333,92.1586667,1009.9999999999909
N1,1001095,link,link 844,21.2283604,92.1617222,264.99999999998636
N1,1001096,link,link 845,21.2261382,92.1611667,209.00000000000318
N1,1001097,link,link 846,21.2243327,92.1614444,527.9999999999632
N1,1001098,link,link 847,21.2198049,92.1618611,400.0000000000341
N1,1001099,link,link 848,21.2165556,92.1626944,302.99999999999727
N1,1001100,link,link 849,21.2152778,92.1649722,195.99999999996953
N1,1001101,link,link 850,21.2142778,92.166666,106.00000000005139
N1,1001102,link,link 851,21.21375,92.1674438,127.9999999999859
N1,1001103,link,link 852,21.2127222,92.1678882,243.99999999997135
N1,1001104,link,link 853,21.2105833,92.1681382,100.00000000002274
N1,1001105,link,link 854,21.2096944,92.168416,536.0000000000014
N1,1001106,link,link 855,21.2056389,92.1703327,526.9999999999868
N1,1001107,link,link 856,21.2011389,92.170416,247.99999999999045
N1,1001108,link,link 857,21.1989997,92.1703604,125.0
N1,1001109,link,link 858,21.1977219,92.1705549,112.99999999999955
N1,1001110,link,link 859,21.1969441,92.1707493,47.000000000025466
N1,1001111,link,link 860,21.1965552,92.1708604,483.99999999998045
N1,1001112,bridge,bridge 252,21.1925552,92.1697216,42.00000000003001
N1,1001113,bridge,bridge 253,21.1923052,92.1695271,260.99999999996726
N1,1001114,link,link 861,21.1906108,92.167916,173.00000000000182
N1,1001115,link,link 862,21.1897497,92.166666,456.99999999999363
N1,1001116,link,link 863,21.1866386,92.1638056,313.000000000045
N1,1001117,bridge,bridge 254,21.1859441,92.1610833,22.999999999967713
N1,1001118,bridge,bridge 255,21.185833,92.1609167,233.0000000000041
N1,1001119,link,link 864,21.1843052,92.1594167,699.0000000000123
N1,1001120,link,link 865,21.178666,92.1574722,290.9999999999968
N1,1001121,link,link 866,21.1761938,92.1566111,242.999999999995
N1,1001122,link,link 867,21.1742771,92.1557222,281.99999999998226
N1,1001123,link,link 868,21.1718327,92.1551389,242.999999999995
N1,1001124,bridge,bridge 256,21.1698049,92.1545833,48.00000000000182
N1,1001125,bridge,bridge 257,21.1694993,92.1543056,155.00000000002956
N1,1001126,link,link 869,21.168416,92.1532778,110.00000000001364
N1,1001127,link,link 870,21.1677216,92.1527778,64.99999999999773
N1,1001128,link,link 871,21.1673327,92.1524167,252.9999999999859
N1,1001129,bridge,bridge 258,21.1652222,92.1521667,31.999999999982265
N1,1001130,bridge,bridge 259,21.1649444,92.1521944,194.99999999999318
N1,1001131,link,link 872,21.16325,92.1522222,88.99999999999864
N1,1001132,link,link 873,21.1624722,92.1522778,235.99999999999
