road,model_type,name,lat,lon,length,condition,start_km,end_km,id
N1,link,Bridge end,23.5562222,90.6591389,296.07499999999834,,31.486925000000003,31.783,1000177
N1,link,"Ctg 228 km,Comilla 61 km",23.5538056,90.6619722,241.99999999999733,,31.783,32.025,1000178
N1,link,Box culvert,23.5523333,90.6636667,81.05000000000473,,32.025,32.10605,1000179
N1,bridge,Baushia Bridge(L),23.5517421907216,90.6643538752577,29.9,A,32.10605,32.13595,1000180
N1,bridge,Baushia Bridge(R),23.5517421907216,90.6643538752577,29.87,A,32.106065,32.135935,1000181
N1,bridge,BOBAIRCHAR BRIDGE(R),23.5517421907216,90.6643538752577,28.9,A,32.106550000000006,32.13545,1000182
N1,bridge,BOBARCHAR BRIDGE(L),23.5517421907216,90.6643538752577,28.9,A,32.106550000000006,32.13545,1000183
N1,link,Box culvert,23.5523333,90.6636667,471.0499999999982,,32.13595,32.607,1000184
N1,link,"Ctg 227 km,Comilla 60 km",23.5487497,90.6678327,165.44999999999987,,32.607,32.77245,1000185
N1,bridge,PURRANBUICHE BOX CULVERT,23.5477377446428,90.6690554098214,9.1,A,32.77245,32.78155,1000186
N1,link,"Ctg 227 km,Comilla 60 km",23.5487497,90.6678327,11.849999999995475,,32.78155,32.7934,1000187
N1,bridge,NOYAPARA,23.5476246437499,90.669192065625,5.2,A,32.7934,32.7986,1000188
N1,link,"Ctg 227 km,Comilla 60 km",23.5487497,90.6678327,32.40000000000265,,32.7986,32.831,1000189
N1,link,Bridge start,23.5474163,90.6694438,76.99999999999818,,32.831,32.908,1000190
N1,link,Bridge end,23.5469441,90.6699993,442.99999999999784,,32.908,33.351,1000191
N1,link,Box culvert,23.5442219,90.6731104,203.75500000000102,,33.351,33.554755,1000192
N1,bridge,Madhya Baushia Bridge(L),23.54268543125,90.6748292125,72.49,A,33.554755,33.627245,1000193
N1,bridge,MADHAYA BAUSHIA(L),23.54268543125,90.6748292125,70.0,A,33.556000000000004,33.626,1000194
N1,bridge,Madhya Baushia Bridge(R),23.54268543125,90.6748292125,59.83,A,33.561085,33.620915000000004,1000195
N1,bridge,MADHAYA BAUSHIA BRIDGE(R),23.54268543125,90.6748292125,59.2,A,33.5614,33.6206,1000196
N1,link,Km post missing,23.542583,90.6749438,481.20499999999566,,33.627245,34.10845,1000197
N1,bridge,BOCTAR KANDI BOX CULVERT,23.5393910168,90.6784577888,5.1,C,34.10845,34.11355,1000198
N1,link,Km post missing,23.542583,90.6749438,493.45000000000283,,34.11355,34.607,1000199
N1,link,Km post missing,23.5362497,90.681916,33.99999999999892,,34.607,34.641,1000200
N1,link,Bridge start,23.536083,90.6821382,39.99999999999915,,34.641,34.681,1000201
N1,link,Bridge end,23.5358608,90.6823604,275.0000000000057,,34.681,34.956,1000202
N1,link,Box culvert,23.5341386,90.6843052,220.24999999999295,,34.956,35.176249999999996,1000203
N1,bridge,.,23.5327751898617,90.6858701078341,9.5,A,35.176249999999996,35.18575,1000204
N1,link,Box culvert,23.5341386,90.6843052,209.5249999999993,,35.18575,35.395275,1000205
N1,bridge,Baushia bazar Bridge ( R ),23.5313996605222,90.68744892596,25.45,A,35.395275,35.420725000000004,1000206
N1,bridge,Baushia bazar Bridge( L ),23.5313996605222,90.68744892596,25.45,A,35.395275,35.420725000000004,1000207
N1,bridge,CHAR BOWSHIA BRIDGE(R),23.5313996605222,90.68744892596,24.5,B,35.39575,35.42025,1000208
N1,bridge,BORAKANDI BRIDGE(L),23.5313996605222,90.68744892596,24.5,B,35.39575,35.42025,1000209
N1,link,Box culvert,23.5341386,90.6843052,186.27499999999486,,35.420725000000004,35.607,1000210
N1,link,Km post missing,23.5301938,90.688833,95.8000000000041,,35.607,35.7028,1000211
N1,bridge,CHAR BOUSHEA (2),23.5301519626506,90.6897951837349,8.4,A,35.7028,35.7112,1000212
N1,link,Km post missing,23.5301938,90.688833,559.8000000000027,,35.7112,36.271,1000213
N1,link,Daudkandi bridge,23.529916,90.6952219,34.59999999999752,,36.271,36.3056,1000214
N1,bridge,Daudkandi Bridge.,23.5303844733,90.7024402743,1408.8,A,36.3056,37.7144,1000215
N1,bridge,Daud Kandi Bridge,23.5303844733,90.7024402743,1408.8,C,36.3056,37.7144,1000216
N1,link,Daudkandi bridge,23.5307771,90.7090278,325.60000000000144,,37.7144,38.04,1000217
N1,link,Start of Comilla road Division / Start of Comilla road Division,23.5313882,90.7153611,426.00000000000193,,38.04,38.466,1000218
N1,link,Road to Matlab (Z1062),23.5314716,90.7172216,76.99999999999818,,38.466,38.543,1000219
N1,link,Bridge start,23.5315271,90.7173604,17.000000000003013,,38.543,38.56,1000220
N1,link,Bridge end,23.5315827,90.7176104,46.999999999997044,,38.56,38.607,1000221
N1,link,Km post missing,23.5317216,90.7180271,512.9999999999982,,38.607,39.12,1000222
N1,link,Box culvert,23.5322346,90.7226298386,172.45000000000488,,39.12,39.29245,1000223
N1,bridge,Baldhakhal Bridge,23.5324186,90.7242807234,23.1,C,39.29245,39.31555,1000224
N1,bridge,BALDHA KHAL RCC GIDER BRIDGE,23.5324186,90.7242807234,21.8,C,39.2931,39.3149,1000225
N1,link,Box culvert,23.5322346,90.7226298386,291.44999999999754,,39.31555,39.607,1000226
N1,link,Km post missing,23.5327216,90.7269993,250.0,,39.607,39.857,1000227
N1,bridge,MAIS PARA BOX CULVERT,23.5317587831999,90.7291780095,6.0,B,39.857,39.863,1000228
N1,link,Km post missing,23.5327216,90.7269993,743.9999999999998,,39.863,40.607,1000229
N1,link,Km post missing,23.528916,90.7356108,654.0000000000034,,40.607,41.261,1000230
N1,link,Ctg 214 km,23.5289993,90.7419441,966.9999999999987,,41.261,42.228,1000231
N1,link,Bridge start,23.5293882,90.7514167,16.999999999995907,,42.228,42.245,1000232
N1,link,Bridge end,23.5293882,90.7515833,24.00000000000091,,42.245,42.269,1000233
N1,link,Km post broken,23.529416,90.75175,658.7500000000048,,42.269,42.92775,1000234
N1,bridge,SHAHID NAGIR,23.5298050611,90.75825325,16.5,C,42.92775,42.94425,1000235
N1,bridge,Shahid Nagor Bridge,23.5298050611,90.75825325,16.5,C,42.92775,42.94425,1000236
N1,link,Km post broken,23.529416,90.75175,324.75000000000165,,42.94425,43.269,1000237
N1,link,Km post Missing,23.5299993,90.7615,1000.0,,43.269,44.269,1000238
N1,link,Km post Missing,23.5304438,90.7713049,185.00000000000227,,44.269,44.454,1000239
N1,link,Box culvert,23.5304993,90.7731104,708.0500000000001,,44.454,45.16205,1000240
N1,bridge,SARKAR BARI CULVERT,23.5307655282208,90.7800797251533,3.9,C,45.16205,45.16595,1000241
N1,link,Box culvert,23.5304993,90.7731104,103.04999999999609,,45.16595,45.269,1000242
N1,link,Km post Missing,23.5308049,90.7811104,53.00000000000438,,45.269,45.322,1000243
N1,link,"Z1402, road to Pennai",23.5307493,90.7816104,65.9999999999954,,45.322,45.388,1000244
N1,link,"Z1053, Road to Homna",23.530666,90.7821938,773.0000000000032,,45.388,46.161,1000245
N1,link,Box culvert,23.5312216,90.7895552,107.99999999999699,,46.161,46.269,1000246
N1,link,Km post Missing,23.531166,90.7907219,598.7500000000025,,46.269,46.86775,1000247
N1,bridge,AMIRABATH SLAB CULVERT,23.5308683409424,90.7918075171727,6.5,C,46.86775,46.87425,1000248
N1,link,Km post Missing,23.531166,90.7907219,349.7499999999931,,46.87425,47.224,1000249
N1,link,Z1044,23.5306938,90.7924441,45.000000000001705,,47.224,47.269,1000250
N1,link,Km post Missing,23.5308604,90.8002222,402.9999999999987,,47.269,47.672,1000251
N1,link,Bridge start,23.5308882,90.8041389,20.000000000003126,,47.672,47.692,1000252
N1,link,Bridge end,23.530916,90.8043611,576.9999999999982,,47.692,48.269,1000253
N1,link,Km post Missing,23.5316382,90.8099167,107.05000000000098,,48.269,48.37605,1000254
N1,bridge,Ginlatoly,23.5318234765,90.8110155135,15.9,C,48.37605,48.39195,1000255
N1,bridge,Ginlatoly bridge,23.5318234765,90.8110155135,15.9,A,48.37605,48.39195,1000256
N1,link,Km post Missing,23.5316382,90.8099167,877.049999999997,,48.39195,49.269,1000257
N1,link,Km post Missing,23.5332493,90.8194716,594.0000000000011,,49.269,49.863,1000258
N1,link,Bridge start,23.5346663,90.8249716,15.999999999998238,,49.863,49.879,1000259
N1,link,Bridge end,23.5347219,90.8251104,390.00000000000057,,49.879,50.269,1000260
N1,link,Km post Missing,23.5344997,90.8287216,282.89999999999793,,50.269,50.551899999999996,1000261
N1,bridge,RAIPUR BOX CULVERT,23.5329743291,90.8309774761999,12.2,A,50.551899999999996,50.5641,1000262
N1,link,Km post Missing,23.5344997,90.8287216,704.899999999995,,50.5641,51.269,1000263
N1,link,Km post Missing,23.5292216,90.8365274,367.00000000000443,,51.269,51.636,1000264
N1,link,Box culvert,23.5270549,90.8391386,632.9999999999956,,51.636,52.269,1000265
N1,link,Km post Missing,23.523166,90.8438886,41.7500000000075,,52.269,52.310750000000006,1000266
N1,bridge,AITAL BANGA BOX CULVERT,23.5229166652,90.8442186132,4.5,C,52.310750000000006,52.31525,1000267
N1,link,Km post Missing,23.523166,90.8438886,953.7499999999994,,52.31525,53.269,1000268
N1,link,Km post Missing,23.5174993,90.8513889,1000.0,,53.269,54.269,1000269
N1,link,Km post Missing,23.5170827,90.8607778,1000.0,,54.269,55.269,1000270
N1,link,Km post Missing,23.5135833,90.8697771,64.00000000000006,,55.269,55.333,1000271
N1,link,Bridge start,23.5133056,90.8703049,42.00000000000159,,55.333,55.375,1000272
N1,link,Bridge end,23.5131111,90.8706382,101.99999999999676,,55.375,55.477,1000273
N1,link,"Z1042, road to Bancharampur",23.5126667,90.871416,514.550000000007,,55.477,55.991550000000004,1000274
