,truck_id,bridge_id,bridge_condition,bridge_length,start_time,end_time,wait_duration
20418,Truck71662,1001495,C,45.0,6218,6238.873001016051,20.87300101605063
20419,Truck71789,1000267,C,4.5,6218,6237.973036433175,19.973036433175142
20420,Truck71568,1002586,D,2.7,6219,6229.828504382816,10.82850438281595
20421,Truck71575,1002296,C,13.0,6219,6268.583255112061,49.583255112061046
20422,Truck71633,1001887,C,22.0,6219,6267.448143116745,48.44814311674523
20423,Truck71549,1002689,C,37.3,6220,6238.939604449673,18.93960444967357
20424,Truck71597,1002248,C,1.2,6220,6239.770487330282,19.77048733028185
20425,Truck71614,1002116,C,2.1,6220,6230.250197802527,10.250197802526738
20426,Truck71560,1002689,C,37.3,6222,6250.308463812606,28.308463812605865
20427,Truck71564,1002590,C,37.6,6222,6266.905057548349,44.90505754834891
20428,Truck71619,1002088,C,8.5,6222,6241.542418875778,19.54241887577816
20429,Truck71672,1001495,C,45.0,6222,6279.447109941786,57.44710994178584
20430,Truck71734,1000935,C,27.0,6222,6250.720088600099,28.720088600098922
20431,Truck71775,1000393,C,27.35,6222,6271.550327999523,49.55032799952322
20432,Truck71592,1002154,D,15.4,6223,6273.494726341555,50.49472634155492
20433,Truck71659,1001495,C,45.0,6223,6249.483188021148,26.483188021147477
20434,Truck71721,1001058,C,914.0,6223,6367.540369893685,144.54036989368484
20435,Truck71790,1000267,C,4.5,6223,6241.092213622487,18.0922136224872
20436,Truck71605,1002114,C,10.9,6224,6245.001654982888,21.001654982888276
20437,Truck71615,1002114,C,10.9,6224,6243.9211875312785,19.92118753127813
20438,Truck71618,1002088,C,8.5,6224,6242.337835710963,18.337835710963233
20439,Truck71670,1001468,C,56.2,6224,6310.094284687056,86.0942846870553
20440,Truck71571,1002248,C,1.2,6225,6241.55000473996,16.55000473995998
20441,Truck71585,1002154,D,15.4,6225,6260.574716886841,35.574716886841074
20442,Truck71777,1000393,C,27.35,6225,6271.398524635317,46.39852463531709
20443,Truck71569,1002590,C,37.6,6226,6272.795716082464,46.795716082464224
20444,Truck71574,1002338,C,1.2,6226,6243.474885129695,17.474885129695714
20445,Truck71584,1002296,C,13.0,6226,6276.494165910552,50.494165910551175
20446,Truck71590,1002154,D,15.4,6226,6253.183873075749,27.18387307574876
20447,Truck71594,1002248,C,1.2,6226,6242.1733376074235,16.173337607423083
20448,Truck71603,1002248,C,1.2,6226,6236.960474540543,10.960474540543048
20449,Truck71608,1002116,C,2.1,6226,6242.754904013863,16.754904013862546
20450,Truck71630,1001887,C,22.0,6226,6258.188828358663,32.18882835866296
20451,Truck71776,1000393,C,27.35,6226,6242.8628419772685,16.86284197726809
20452,Truck71556,1002590,C,37.6,6227,6255.955798079552,28.955798079551883
20453,Truck71620,1002088,C,8.5,6227,6238.575054151089,11.575054151089086
